Word,POS_Tag
things,NOUN
sport,NOUN
dress,NOUN
code,NOUN
players,NOUN
minimalist,NOUN
court,NOUN
side,NOUN
advertising,NOUN
association,NOUN
strawberries,NOUN
cream,NOUN
remain,VERB
guarded,VERB
traditions,NOUN
organisers,NOUN
world,NOUN
set,VERB
crack,VERB
cricket,NOUN
obsessed,VERB
year,NOUN
had,VERB
abandon,VERB
trademark,NOUN
restraint,NOUN
win,VERB
audiences,NOUN
country,NOUN
tennis,NOUN
remains,VERB
niche,NOUN
sport,NOUN
Strawberries,NOUN
cream,NOUN
got,VERB
makeover,NOUN
partnered,VERB
kulfi,NOUN
ice,NOUN
cream,NOUN
maker,NOUN
channel,NOUN
shared,VERB
reels,NOUN
stars,NOUN
gliding,VERB
court,NOUN
Bollywood,NOUN
hits,VERB
championships,NOUN
welcomed,VERB
celebrity,NOUN
cricketers,NOUN
influencers,NOUN
using,VERB
star,NOUN
power,NOUN
broaden,VERB
appeal,NOUN
hyper,VERB
localised,VERB
marketing,NOUN
effort,NOUN
content,NOUN
scattered,VERB
languages,NOUN
effort,NOUN
seems,VERB
paid,VERB
win,NOUN
men,NOUN
drew,VERB
livestream,NOUN
viewers,NOUN
played,VERB
midnight,NOUN
time,NOUN
viewers,NOUN
tuned,VERB
watch,VERB
tournament,NOUN
year,NOUN
according,VERB
media,NOUN
platform,NOUN
holds,VERB
streaming,NOUN
rights,NOUN
matches,NOUN
declined,VERB
share,VERB
data,NOUN
push,NOUN
win,VERB
sports,NOUN
branding,NOUN
expert,NOUN
told,VERB
audience,NOUN
reach,NOUN
year,NOUN
becoming,VERB
years,NOUN
reach,VERB
boys,NOUN
singles,VERB
quarter,NOUN
finals,NOUN
seeing,VERB
pipeline,NOUN
talent,NOUN
circuits,NOUN
decade,NOUN
sports,NOUN
consumption,NOUN
expanding,VERB
cricket,NOUN
streaming,NOUN
platforms,NOUN
target,VERB
niche,NOUN
audiences,NOUN
scale,NOUN
says,VERB
organisers,NOUN
game,NOUN
capitalising,VERB
shifts,NOUN
executive,NOUN
governing,NOUN
body,NOUN
told,VERB
joined,VERB
focus,NOUN
growing,VERB
slam,NOUN
audience,NOUN
country,NOUN
become,VERB
world,NOUN
growth,NOUN
market,NOUN
sport,NOUN
coming,VERB
years,NOUN
sector,NOUN
estimated,VERB
grow,VERB
compounded,VERB
rate,NOUN
average,NOUN
according,VERB
tournaments,NOUN
having,VERB
way,NOUN
engage,VERB
audiences,NOUN
understood,VERB
shifts,NOUN
marketing,NOUN
decades,NOUN
premium,NOUN
brands,NOUN
believed,VERB
exclusivity,NOUN
came,VERB
distance,NOUN
today,NOUN
understand,VERB
exclusivity,NOUN
comes,VERB
belonging,VERB
says,VERB
changed,VERB
entry,NOUN
point,NOUN
asking,VERB
understand,VERB
allowing,VERB
discover,VERB
cues,NOUN
collaboration,NOUN
music,NOUN
infusion,NOUN
creators,NOUN
says,VERB
media,NOUN
engagement,NOUN
creation,NOUN
bridge,NOUN
audience,NOUN
focused,VERB
cricket,NOUN
feel,VERB
reducing,VERB
distance,NOUN
founder,NOUN
told,VERB
focus,NOUN
media,NOUN
led,VERB
marketing,NOUN
rooted,VERB
people,NOUN
discover,VERB
events,NOUN
days,NOUN
adds,VERB
audiences,NOUN
encounter,VERB
events,NOUN
media,NOUN
engage,VERB
event,NOUN
asking,VERB
consumers,NOUN
enter,VERB
world,NOUN
campaign,NOUN
enters,VERB
platforms,NOUN
tournament,NOUN
offers,VERB
chance,NOUN
broaden,VERB
engagement,NOUN
create,VERB
calendar,NOUN
events,NOUN
move,VERB
focusing,VERB
sport,NOUN
reported,VERB
seeking,VERB
renegotiate,VERB
broadcast,NOUN
rights,NOUN
contract,NOUN
losses,NOUN
partnership,NOUN
remains,VERB
force,NOUN
scenario,NOUN
uncertainty,NOUN
increasing,VERB
investment,NOUN
tennis,NOUN
makes,VERB
sense,NOUN
say,VERB
experts,NOUN
tennis,NOUN
broadens,VERB
engagement,NOUN
calendar,NOUN
attracts,VERB
audiences,NOUN
diversifies,NOUN
advertiser,NOUN
categories,NOUN
cricket,NOUN
says,VERB
cricket,NOUN
gives,VERB
scale,NOUN
tennis,NOUN
gives,VERB
audiences,NOUN
brings,VERB
cricket,NOUN
premium,NOUN
speaking,VERB
audience,NOUN
brands,VERB
luxury,NOUN
banking,NOUN
fintech,NOUN
travel,NOUN
consumer,NOUN
goods,NOUN
awareness,NOUN
branding,VERB
created,VERB
tournament,NOUN
convert,VERB
term,NOUN
engagement,NOUN
sport,NOUN
have,VERB
create,VERB
lasting,VERB
relevance,NOUN
tournament,NOUN
ends,VERB
according,VERB
co,NOUN
founder,NOUN
based,VERB
media,NOUN
agency,NOUN
moments,NOUN
treated,VERB
campaign,NOUN
tactics,NOUN
tournament,NOUN
impact,NOUN
curiosity,NOUN
translate,VERB
fandom,NOUN
have,VERB
grassroots,NOUN
engagement,NOUN
continued,VERB
market,NOUN
investment,NOUN
adds,VERB
sports,NOUN
property,NOUN
watching,VERB
experiment,NOUN
says,VERB
demonstrates,VERB
contextualised,VERB
storytelling,NOUN
increase,VERB
engagement,NOUN
expect,VERB
deepen,VERB
content,NOUN
strategies,NOUN
